age,annual_income,spending_score,Labels
19,15,39,3
21,15,81,4
20,16,6,3
23,16,77,4
31,17,40,3
22,17,76,4
35,18,6,3
23,18,94,4
64,19,3,3
30,19,72,4
67,19,14,3
35,19,99,4
58,20,15,3
24,20,77,4
37,20,13,3
22,20,79,4
35,21,35,3
20,21,66,4
52,23,29,3
35,23,98,4
35,24,35,3
25,24,73,4
46,25,5,3
31,25,73,4
54,28,14,3
29,28,82,4
45,28,32,3
35,28,61,4
40,29,31,3
23,29,87,4
60,30,4,3
21,30,73,4
53,33,4,3
18,33,92,4
49,33,14,3
21,33,81,4
42,34,17,3
30,34,73,4
36,37,26,3
20,37,75,4
65,38,35,3
24,38,92,4
48,39,36,3
31,39,61,4
49,39,28,3
24,39,65,4
50,40,55,0
27,40,47,0
29,40,42,0
31,40,42,0
49,42,52,0
33,42,60,0
31,43,54,0
59,43,60,0
50,43,45,0
47,43,41,0
51,44,50,0
69,44,46,0
27,46,51,0
53,46,46,0
70,46,56,0
19,46,55,0
67,47,52,0
54,47,59,0
63,48,51,0
18,48,59,0
43,48,50,0
68,48,48,0
19,48,59,0
32,48,47,0
70,49,55,0
47,49,42,0
60,50,49,0
60,50,56,0
59,54,47,0
26,54,54,0
45,54,53,0
40,54,48,0
23,54,52,0
49,54,42,0
57,54,51,0
38,54,55,0
67,54,41,0
46,54,44,0
21,54,57,0
48,54,46,0
55,57,58,0
22,57,55,0
34,58,60,0
50,58,46,0
68,59,55,0
18,59,41,0
48,60,49,0
40,60,40,0
32,60,42,0
24,60,52,0
47,60,47,0
27,60,50,0
48,61,42,0
20,61,49,0
23,62,41,0
49,62,48,0
67,62,59,0
26,62,55,0
49,62,56,0
21,62,42,0
66,63,50,0
54,63,46,0
68,63,43,0
66,63,48,0
65,63,52,0
19,63,54,0
38,64,42,0
19,64,46,0
18,65,48,0
19,65,50,0
63,65,43,0
49,65,59,0
51,67,43,0
50,67,57,0
27,67,56,0
38,67,40,0
40,69,58,0
39,69,91,1
23,70,29,2
31,70,77,1
43,71,35,0
40,71,95,1
59,71,11,2
38,71,75,1
47,71,9,2
39,71,75,1
25,72,34,2
31,72,71,1
20,73,5,2
29,73,88,1
44,73,7,2
32,73,73,1
19,74,10,2
35,74,72,1
57,75,5,2
32,75,93,1
28,76,40,0
32,76,87,1
25,77,12,2
28,77,97,1
48,77,36,2
32,77,74,1
34,78,22,2
34,78,90,1
43,78,17,2
39,78,88,1
44,78,20,2
38,78,76,1
47,78,16,2
27,78,89,1
37,78,1,2
30,78,78,1
34,78,1,2
30,78,73,1
56,79,35,2
29,79,83,1
19,81,5,2
31,81,93,1
50,85,26,2
36,85,75,1
42,86,20,2
33,86,95,1
36,87,27,2
32,87,63,1
40,87,13,2
28,87,75,1
36,87,10,2
36,87,92,1
52,88,13,2
30,88,86,1
58,88,15,2
27,88,69,1
59,93,14,2
35,93,90,1
37,97,32,2
32,97,86,1
46,98,15,2
29,98,88,1
41,99,39,2
30,99,97,1
54,101,24,2
28,101,68,1
41,103,17,2
36,103,85,1
34,103,23,2
32,103,69,1
33,113,8,2
38,113,91,1
47,120,16,2
35,120,79,1
45,126,28,2
32,126,74,1
32,137,18,2
30,137,83,1
